,name,url,date_of_birth,place_of_birth,city_of_residence
62,כץ ישראל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=69,"ה' בתשרי תשט""ז, 21/09/1955","אשקלון, ישראל",כפר אחים
63,להב הרצנו יוראי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=998,"כ""ב באב תשמ""ח, 05/08/1988","תל אביב, ישראל",תל אביב
64,לוי מיקי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=876,21/06/1951,"ירושלים, ישראל",מבשרת ציון
65,לוי אבקסיס אורלי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=832,"ט""ז בחשוון תשל""ד, 11/11/1973",ישראל,רשפים
66,לוין יריב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=826,"ז' בתמוז תשכ""ט, 22/06/1969",ישראל,מודיעין
67,ליברמן אביגדור,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=214,"ט""ו באייר תשי""ח, 05/06/1958",ברית המועצות,נוקדים
68,לפיד יאיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=878,"י""ח בחשוון תשכ""ד, 05/11/1963","תל-אביב, ישראל",תל אביב
69,מארק אוסנת הילה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=972,"י""ז באלול תשכ""ז, 22/09/1967","באר שבע, ישראל",מעלה אדומים
70,מולא פטין,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1016,15/06/1960,"ירכא, ישראל",ירכא
71,מיכאלי מרב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=881,"י""א בכסלו תשכ""ז, 24/11/1966","פתח תקווה, ישראל",תל אביב
72,מלינובסקי קונין יוליה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=956,"כ""ט באלול תשל""ה, 05/09/1975","לוגנסק, אוקראינה",חולון
73,מלכיאלי מיכאל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=957,"כ' בתשרי תשמ""ג, 07/10/1982","ירושלים, ישראל",ירושלים
74,מרגי יעקב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=751,"כ""ח בחשוון תשכ""א, 18/11/1960",מרוקו,שדה צבי
75,נהרי משולם,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=222,"א' באייר תשי""א, 07/05/1951",ישראל,ירושלים
76,ניסנקורן אבי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=975,"ח' באדר ב' תשכ""ז, 20/03/1967",ישראל,ירושלים
77,נתניהו בנימין,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=90,"כ""ח בתשרי תש""י, 21/10/1949","תל-אביב, ישראל",ירושלים
78,סאלח סונדוס,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1034,17/06/1986,"נצרת, ישראל",משהד
79,סגלוביץ' יואב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=995,"ט""ו בניסן תשי""ט, 23/04/1959",ישראל,משהד
80,סובה יבגני,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=994,"י""ז באלול תש""מ, 29/08/1980",אוקראינה,משהד
81,סופר אופיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=977,"י""ג באב תשל""ד, 01/08/1974","צפת, ישראל",טפחות
82,סמוטריץ' בצלאל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=936,"י' באדר תש""מ, 27/02/1980","חיספין, ישראל",קדומים
83,סעדי אוסאמה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=937,21/02/1963,"עראבה, ישראל",ירושלים
84,סער גדעון,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=725,"כ""ו בכסלו תשכ""ז, 09/12/1966","תל אביב, ישראל",תל אביב
85,עבאס מנסור,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1007,22/04/1974,ישראל,מע'אר
86,עודה איימן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=938,01/01/1975,"חיפה, ישראל",חיפה
87,עטייה חוה אתי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=992,"י""ז בסיוון תש""כ, 12/02/1960","לוד, ישראל",רמת גן
88,עמאר חמד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=837,05/11/1964,ישראל,שפרעם
89,עסאקלה ג'אבר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1025,20/08/1960,ישראל,מע'אר
90,פורר עודד,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=951,"י""ג בסיוון תשל""ז, 30/05/1977","רחובות, ישראל",רחובות
91,פינדרוס יצחק זאב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1001,"כ""ז בתמוז תשל""א, 20/07/1971","ירושלים, ישראל",ירושלים
92,פלוסקוב טלי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=942,"כ""ח בתמוז תשכ""ב, 30/07/1962","בלץ, מולדובה",ערד
93,פרומן אורלי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=979,"כ""ד בסיוון תשט""ו, 14/06/1955","תל אביב, ישראל",כפר סבא
94,פרידמן תהלה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1038,"י""ג בסיוון תשל""ו, 11/06/1976","קריית אונו, ישראל",ירושלים
95,פרץ עמיר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=105,"י""ב באדר תשי""ב, 09/03/1952","בוז`אר, מרוקו",שדרות
96,פרץ רפאל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1021,"כ""ג בטבת תשט""ז, 07/01/1956",ישראל,שדרות
97,פרקש הכהן אורית,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=978,"א' בטבת תשל""א, 29/12/1970","פתח תקווה, ישראל",ירושלים
98,קאבלה עינב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1037,"ז' בתשרי תש""מ, 27/09/1979","אשקלון, ישראל",תל אביב
99,קוז'ינוב אנדרי,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1033,28/12/1979,"קאזאן, ברית המועצות",פתח תקווה
100,קושניר אלכס,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1024,"ב' בחשוון תשל""ט, 02/11/1978","דרוהוביץ', אוקראינה",פתח תקווה
101,קיש יואב,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=945,"ט""ו בכסלו תשכ""ט, 06/12/1968","תל-אביב, ישראל",רמת גן
102,קלנר אריאל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=987,"כ""א בתמוז תש""מ, 05/07/1980","חיפה, ישראל",חיפה
103,קרעי שלמה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1011,"י""ג בניסן תשמ""ב, 06/04/1982",ישראל,חיפה
104,רגב מירי מרים,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=831,"כ""ד באייר תשכ""ה, 26/05/1965",ישראל,ראש העין
105,רול עידן,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1009,"כ""ה בניסן תשמ""ד, 27/04/1984","ירושלים, ישראל",תל אביב
106,רזבוזוב יואל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=897,05/07/1980,"בירוביג`אן, רוסיה",נתניה
107,שאשא ביטון יפעת,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=946,"כ""א באייר תשל""ג, 23/05/1973",ישראל,זכרון יעקב
108,שחאדה אנטאנס,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=985,25/05/1972,"נצרת, ישראל",עוספיא
109,שטייניץ יובל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=695,"כ' בניסן תשי""ח, 10/04/1958",ישראל,מבשרת ציון
110,שטרית קטי קטרין,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1018,"כ""ב בטבת תש""כ, 22/01/1960","קזבלנקה, מרוקו",בית שמש
111,שטרן אלעזר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=899,"י""ח באלול תשט""ז, 25/08/1956",ישראל,הושעיה
112,שי וזאן הילה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1040,"א' באייר תש""מ, 16/04/1980","חולון, ישראל",מודיעין
113,שיר סגמן מיכל,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1004,"כ""ח בחשוון תש""מ, 18/11/1979",ישראל,מודיעין
114,שלח עפר,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=900,"י""א בשבט תש""כ, 09/02/1960","קריית-ביאליק, ישראל",גינתון
115,שמולי איציק,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=901,"כ""א בשבט תש""מ, 08/02/1980","תל-אביב, ישראל",כסלון 
116,שפע רם,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=1023,"כ""ד בשבט תשמ""ה, 15/02/1985","חדרה, ישראל",גבעת חיים איחוד
117,שקד אילת,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=904,"ז' באייר תשל""ו, 07/05/1976","תל-אביב, ישראל",תל אביב
118,תומא סלימאן עאידה,https://main.knesset.gov.il//mk/Pages/MKPersonalDetails.aspx?MKID=948,16/07/1964,"נצרת, ישראל",עכו
